N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
94,쌍용C&E,"6,390",100,+1.59%,100,"32,197","503,860",2.96,"544,305",21.37,11.12,
95,아모레G,"38,500",600,+1.58%,500,"31,746","82,458",15.16,"86,521",25.10,5.49,
96,BGF리테일,"183,000","2,500",-1.35%,"1,000","31,630","17,284",31.16,"27,654",20.05,19.61,
97,이마트,"112,500","1,500",-1.32%,"5,000","31,360","27,876",27.41,"128,196",1.37,16.25,
98,NH투자증권,"9,420",120,-1.26%,"5,000","31,243","331,666",13.53,"526,356",3.76,14.77,
99,삼성증권,"33,900",100,-0.29%,"5,000","30,273","89,300",27.47,"171,294",3.66,16.94,
100,두산밥캣,"30,150",550,-1.79%,500,"30,225","100,249",24.35,"228,506",8.15,9.19,
101,메리츠증권,"4,605",0,0.00%,"1,000","29,459","639,711",13.51,"473,409",3.95,15.77,
102,팬오션,"5,500",20,-0.36%,"1,000","29,401","534,570",15.63,"1,430,214",4.47,17.16,
103,현대해상,"32,450",50,+0.15%,500,"29,010","89,400",31.85,"221,155",6.32,8.82,
104,호텔신라,"70,500",300,+0.43%,"5,000","27,670","39,248",15.31,"138,103",135.06,4.51,
105,OCI,"116,000","2,000",-1.69%,"5,000","27,665","23,849",15.20,"297,126",3.72,23.93,
106,한미사이언스,"39,900",100,+0.25%,500,"27,381","68,624",1.52,"35,556",56.68,6.37,
107,현대로템,"24,400","4,200",+20.79%,"5,000","26,631","109,142",4.09,"30,589,460",36.36,5.01,
108,CJ대한통운,"116,500","1,000",+0.87%,"5,000","26,576","22,812",18.02,"36,693",38.54,1.59,
109,롯데쇼핑,"93,700",900,-0.95%,"5,000","26,507","28,289",11.34,"67,962",-13.08,-2.94,
110,만도,"54,900",900,+1.67%,"1,000","25,779","46,957",20.45,"405,890",17.43,9.31,
111,한화시스템,"13,500",400,+3.05%,"5,000","25,504","188,919",3.22,"900,268",26.73,6.04,
112,GS리테일,"24,200",150,-0.62%,"1,000","25,342","104,718",7.20,"95,345",3.00,25.58,
113,제일기획,"22,000",350,-1.57%,200,"25,309","115,041",32.44,"416,196",14.23,15.58,
114,KCC,"284,500",0,0.00%,"5,000","25,282","8,886",9.41,"10,236",-44.59,-0.92,
115,한화에어로스페이스,"49,900","4,250",+9.31%,"5,000","25,264","50,630",19.74,"1,301,122",12.51,9.21,
116,GS건설,"29,200",0,0.00%,"5,000","24,990","85,581",30.74,"759,315",6.28,9.32,
117,한솔케미칼,"219,500","5,000",-2.23%,"5,000","24,881","11,335",34.53,"25,670",16.80,23.88,
118,동서,"24,550",50,+0.20%,500,"24,476","99,700",2.99,"28,450",21.48,8.05,
119,에스원,"63,500",0,0.00%,500,"24,129","37,999",52.97,"31,747",18.69,9.13,
120,한전기술,"62,900",400,-0.63%,200,"24,040","38,220",2.17,"132,857",182.85,3.25,
121,KODEX 레버리지,"15,180",190,-1.24%,0,"23,817","156,900",1.36,"27,750,421",N/A,N/A,
122,포스코인터내셔널,"19,150",500,-2.54%,"5,000","23,626","123,375",6.43,"755,226",5.51,10.86,
123,CJ,"78,200",700,-0.89%,"5,000","22,816","29,177",17.28,"17,310",9.13,5.66,
124,현대차우,"93,200",900,+0.98%,"5,000","22,700","24,357",57.73,"54,452",4.96,N/A,
125,대우건설,"5,350",30,+0.56%,"5,000","22,236","415,623",10.96,"1,251,155",4.36,16.47,
126,대웅제약,"189,500","4,000",+2.16%,"2,500","21,957","11,587",8.17,"55,563",35.77,4.39,
127,대우조선해양,"20,350",200,-0.97%,"5,000","21,834","107,291",3.08,"533,188",-1.12,-55.86,
128,TIGER 미국나스닥100,"73,510",720,+0.99%,0,"21,796","29,650",0.09,"194,321",N/A,N/A,
129,BNK금융지주,"6,660",0,0.00%,"5,000","21,707","325,935",39.29,"656,722",2.48,8.76,
130,신세계,"217,500",500,-0.23%,"5,000","21,413","9,845",27.16,"20,821",5.98,8.54,
131,키움증권,"81,600",500,+0.62%,"5,000","21,395","26,220",24.16,"66,614",2.95,25.38,
132,대한전선,"1,690",10,-0.59%,100,"21,032","1,244,473",2.11,"10,016,050",39.30,7.78,
133,TIGER 200,"31,935",185,-0.58%,0,"20,949","65,600",0.00,"1,385,274",N/A,N/A,
134,LG화학우,"271,000","1,500",+0.56%,"5,000","20,837","7,689",69.98,"8,626",6.95,N/A,
135,녹십자,"178,000","2,000",-1.11%,"5,000","20,802","11,687",22.90,"25,454",18.11,10.30,
136,하이트진로,"29,550",150,-0.51%,"5,000","20,724","70,134",11.44,"243,704",26.41,6.62,
137,KODEX 200선물인버스2X,"3,105",40,+1.31%,0,"20,332","654,800",3.85,"173,743,016",N/A,N/A,
138,씨에스윈드,"47,500",450,-0.94%,500,"20,031","42,171",10.29,"127,568",60.28,10.13,
139,DB하이텍,"44,300",450,-1.01%,"5,000","19,669","44,399",25.85,"462,849",4.61,33.35,
140,두산퓨얼셀,"30,000",0,0.00%,100,"19,648","65,494",14.61,"127,567",243.90,1.69,
141,한화생명,"2,195",25,-1.13%,"5,000","19,064","868,530",7.71,"600,007",2.07,10.79,
142,SK케미칼,"104,500",500,-0.48%,"5,000","18,414","17,621",19.59,"48,176",13.28,11.19,
143,한화,"24,400",0,0.00%,"5,000","18,290","74,959",14.49,"179,786",3.74,20.22,
144,휠라홀딩스,"30,050",100,-0.33%,"1,000","18,256","60,752",38.92,"111,517",8.07,16.20,
145,영원무역,"39,700",200,-0.50%,500,"17,592","44,311",28.79,"52,082",5.06,14.71,
146,LS,"53,800",400,-0.74%,"5,000","17,324","32,200",14.48,"85,697",4.99,8.15,
147,LIG넥스원,"77,700","3,300",+4.44%,"5,000","17,094","22,000",9.29,"307,338",13.47,14.63,
148,TIGER 미국S&P500,"13,150",105,+0.80%,0,"17,088","129,950",0.00,"647,682",N/A,N/A,
149,TIGER 단기통안채,"101,000",5,0.00%,0,"16,851","16,684",0.80,"1,860,218",N/A,N/A,
150,농심,"277,000",500,-0.18%,"5,000","16,849","6,083",13.19,"11,127",16.22,4.73,
151,신풍제약,"31,600",350,-1.10%,500,"16,743","52,985",4.88,"1,756,214",-94.89,-3.19,
152,롯데정밀화학,"64,200",400,-0.62%,"5,000","16,564","25,800",21.14,"125,489",2.88,30.43,
153,코스모신소재,"54,000",600,+1.12%,"1,000","16,551","30,651",7.32,"980,191",77.36,9.42,
154,오뚜기,"450,000","2,000",-0.44%,"5,000","16,524","3,672",12.01,"3,003",11.33,8.91,
155,한전KPS,"36,550",0,0.00%,200,"16,448","45,000",5.32,"197,641",21.79,9.12,
156,현대위아,"60,400",900,+1.51%,"5,000","16,426","27,195",7.78,"171,598",30.12,1.96,
157,KODEX 단기채권PLUS,"103,735",5,0.00%,0,"16,347","15,758",0.00,"1,042,656",N/A,N/A,
158,후성,"17,550",100,+0.57%,500,"16,252","92,607",6.66,"1,862,355",26.51,9.61,
159,대웅,"27,850",50,+0.18%,500,"16,193","58,142",4.43,"22,642",16.34,11.13,
160,효성첨단소재,"352,000",500,-0.14%,"5,000","15,769","4,480",6.77,"30,152",5.96,54.69,
161,동원시스템즈,"53,900","1,400",+2.67%,"5,000","15,733","29,188",13.11,"35,447",36.39,6.95,
162,효성,"74,100",500,-0.67%,"5,000","15,614","21,071",5.56,"35,228",3.84,18.04,
163,롯데칠성,"168,000",500,-0.30%,500,"15,589","9,279",11.39,"29,377",10.75,9.96,
164,DL이앤씨,"40,000",50,-0.12%,"5,000","15,477","38,694",21.61,"109,622",3.31,N/A,
165,현대백화점,"65,900",600,-0.90%,"5,000","15,422","23,402",20.56,"26,835",7.40,4.36,
166,LS ELECTRIC,"51,100",100,+0.20%,"5,000","15,330","30,000",12.96,"87,703",14.91,5.86,
167,TIGER 미국필라델피아반도체나스닥,"10,155",70,+0.69%,0,"14,892","146,650",0.48,"1,379,500",N/A,N/A,
168,JB금융지주,"7,420",20,+0.27%,"5,000","14,616","196,983",27.69,"224,608",2.70,12.80,
169,롯데렌탈,"39,050",100,-0.26%,"5,000","14,306","36,634",5.06,"49,653",9.80,12.28,
170,코오롱인더,"51,900",600,-1.14%,"5,000","14,282","27,519",18.39,"71,717",6.95,8.20,
171,에스엘,"30,700",400,-1.29%,500,"14,260","46,449",14.53,"139,238",17.74,6.63,
172,KODEX KOFR금리액티브(합성),"100,430",20,+0.02%,0,"14,256","14,195",0.00,"2,141",N/A,N/A,
173,한미반도체,"14,400",300,+2.13%,100,"14,244","98,920",5.18,"1,251,111",13.74,34.59,
174,대덕전자,"28,700",400,-1.37%,500,"14,183","49,417",18.87,"490,356",17.01,9.55,
175,TIGER 미국테크TOP10 INDXX,"10,795",80,+0.75%,0,"13,974","129,450",0.34,"1,181,473",N/A,N/A,
176,솔루스첨단소재,"39,400",50,-0.13%,100,"13,834","35,111",5.42,"480,421",164.85,4.00,
177,DL,"65,000",800,-1.22%,"5,000","13,621","20,956",10.94,"62,880",2.22,26.52,
178,TIGER TOP10,"10,610",110,-1.03%,0,"13,618","128,350",0.50,"478,737",N/A,N/A,
179,효성티앤씨,"312,500",500,+0.16%,"5,000","13,524","4,328",9.74,"22,329",1.94,76.22,
180,KODEX 종합채권(AA-이상)액티브,"102,825",200,+0.19%,0,"13,470","13,100",0.00,"1,506",N/A,N/A,
181,한샘,"56,700",400,+0.71%,"1,000","13,344","23,534",14.04,"37,810",24.75,9.10,
182,DGB금융지주,"7,820",10,-0.13%,"5,000","13,227","169,146",48.73,"271,673",2.44,9.63,
183,KODEX 삼성그룹,"8,410",50,-0.59%,0,"12,993","154,500",0.12,"445,267",N/A,N/A,
184,KODEX 2차전지산업,"17,980",60,-0.33%,0,"12,730","70,800",0.61,"1,664,168",N/A,N/A,
185,대성홀딩스,"79,100",200,-0.25%,"1,000","12,727","16,089",4.75,"117,156",73.24,3.61,
186,KODEX 단기채권,"103,450",15,+0.01%,0,"12,716","12,292",0.32,"401,263",N/A,N/A,
187,아이에스동서,"39,750",100,-0.25%,500,"12,280","30,893",6.18,"71,093",7.13,8.69,
188,롯데리츠,"5,040",0,0.00%,500,"12,246","242,969",10.84,"145,456",33.16,1.59,
189,KG스틸,"12,150",450,-3.57%,"5,000","12,151","100,009",1.97,"615,193",5.26,17.99,
190,TIGER MSCI Korea TR,"13,075",95,-0.72%,0,"12,107","92,600",4.75,"7,893",N/A,N/A,
191,동국제강,"12,600",150,-1.18%,"5,000","12,025","95,433",22.75,"329,189",1.52,23.41,
192,LX인터내셔널,"31,000",350,+1.14%,"5,000","12,016","38,760",26.38,"195,556",2.71,22.49,
193,TIGER 2차전지테마,"18,120",80,-0.44%,0,"12,014","66,300",0.83,"854,186",N/A,N/A,
194,일진하이솔루스,"32,900",400,-1.20%,500,"11,947","36,313",1.53,"57,500",123.22,4.97,
195,서울가스,"237,000","1,000",-0.42%,"5,000","11,850","5,000",4.15,"6,479",64.47,0.80,
196,한국앤컴퍼니,"12,050",50,+0.42%,500,"11,440","94,935",9.16,"54,224",6.42,5.53,
197,진원생명과학,"14,650",0,0.00%,"1,000","11,380","77,679",13.69,"1,624,035",-56.78,-10.50,
198,KODEX 200TR,"10,610",70,-0.66%,0,"11,125","104,850",0.14,"88,920",N/A,N/A,
199,현대엘리베이,"27,150",350,+1.31%,"5,000","11,081","40,815",29.86,"200,430",10.90,10.62,
200,아시아나항공,"14,850",0,0.00%,"5,000","11,050","74,412",7.21,"206,142",-20.40,-47.21,
,-47.21,
